image,caption,category
1455.jpg,a woman in blue shirt and white shorts playing tennis,Sports / Physical Activity
1456.jpg,a table with a variety of fruits and a box of yories,Indoor Objects / Scenes
1457.jpg,a lamp and a table with a lamp on it,Indoor Objects / Scenes
1458.jpg,a red table with a spray can and a spray can,Indoor Objects / Scenes
1459.jpg,a little girl eating a meal of food,Food / Eating
1460.jpg,two men are jumping into the water with surfboards,Social Interaction (Pairs)
1461.jpg,a woman standing in front of a glass door,Single Person
1462.jpg,a man in a suit and hat talking to another man,Social Interaction (Pairs)
1463.jpg,a man and woman standing next to a road sign,Social Interaction (Pairs)
1464.jpg,a woman is working on a fish,Human-Animal Interaction
1465.jpg,a woman sitting on a bench in front of a fountain,Single Person
1466.jpg,a person cutting a bun on a plate,Food / Eating
1467.jpg,a woman reading a book to a child,Adult-Child Interaction
1468.jpg,a basketball player is shooting the ball,Sports / Physical Activity
1469.jpg,a table with a glass vase and flowers,Indoor Objects / Scenes
1470.jpg,a yellow caution sign,Outdoor / Vehicles
1471.jpg,"a room with a bed, a chair, and a lamp",Indoor Objects / Scenes
1472.jpg,a young boy is playing soccer on the field,Sports / Physical Activity
1473.jpg,a white bird standing on top of a boat,Animal Focus
1474.jpg,a man walking on a beach next to a boat,Single Person
1475.jpg,two young girls playing soccer on a field,Social Interaction (Pairs)
1476.jpg,a window with a star on it,Indoor Objects / Scenes
1477.jpg,a little girl walking with her dog on the beach,Human-Animal Interaction
1478.jpg,a woman is standing on the beach next to a no swimming sign,Single Person
1479.jpg,a woman petting a dog outside,Human-Animal Interaction
1480.jpg,a woman sitting at a table with a plate of food,Food / Eating
1481.jpg,a man eating food on the grass,Food / Eating
1482.jpg,two people are sitting on the beach watching the sunset,Social Interaction (Pairs)
1483.jpg,a woman running on a track,Single Person
1484.jpg,a group of people sitting at a table,Group / Crowd
1485.jpg,a woman in a headscarves sits at a computer,Technology / Screen
1486.jpg,a man in a yellow jacket is cleaning a red car,Single Person
1487.jpg,a guitar and a bottle of wine on a table,Food / Eating
1488.jpg,a desk with a laptop and a lamp,Technology / Screen
1489.jpg,a laptop computer sitting on a desk next to a lamp,Technology / Screen
1490.jpg,a cat sleeping in a bathroom with a bowl,Food / Eating
1491.jpg,a man standing in front of a store,Single Person
1492.jpg,a lamp with a flower in it,Indoor Objects / Scenes
1493.jpg,a man and a little girl laying on a blue blanket,Adult-Child Interaction
1494.jpg,a cup with a sticker and a ball on a table,Sports / Physical Activity
1495.jpg,two people sitting on a bench in front of a building,Social Interaction (Pairs)
1496.jpg,a bird sitting on top of a sign near the water,Animal Focus
1497.jpg,a group of people playing a game of volleyball,Group / Crowd
1498.jpg,a man in a white shirt and hat standing next to an airplane,Single Person
1499.jpg,a motorcycle parked on the side of a road next to a sign,Outdoor / Vehicles
1500.jpg,a man standing at a podium with a laptop,Technology / Screen
1501.jpg,a man and woman sitting on a couch with a baby,Adult-Child Interaction
1502.jpg,a man in a straw hat holding a digital therm,Single Person
1503.jpg,a woman standing in a hallway with a coat on,Single Person
1504.jpg,a bottle of coke and a glass of coke on a table,Indoor Objects / Scenes
1505.jpg,a man sitting at a desk with two monitors,Social Interaction (Pairs)
1506.jpg,two people in the ocean with surfboards,Social Interaction (Pairs)
1507.jpg,a deer crosses the street in front of a car,Outdoor / Vehicles
1508.jpg,a cat sitting on a table next to a bunch of bananas and oranges,Group / Crowd
1509.jpg,a man holding a pumpkin in a warehouse,Food / Eating
1510.jpg,a man sitting on the curb of a race track,Single Person
1511.jpg,a table with a bunch of items on it,Group / Crowd
1512.jpg,a desk with a laptop and a mouse,Technology / Screen
1513.jpg,a young boy playing with a drum,Sports / Physical Activity
1514.jpg,a woman and a man are walking their dogs,Social Interaction (Pairs)
1515.jpg,a table with a lamp and a tea pot,Food / Eating
1516.jpg,a laptop computer sitting on a kitchen counter,Technology / Screen
1517.jpg,a girl sitting on a skateboard,Sports / Physical Activity
1518.jpg,a coat rack with books on it,Indoor Objects / Scenes
1519.jpg,a cup on a table,Food / Eating
1520.jpg,a knife and a bowl of food on a table,Food / Eating
1521.jpg,a girl in a soccer game about to kick the ball,Sports / Physical Activity
1522.jpg,a baby sitting at a table with a plastic container,Single Person
1523.jpg,a table with a tea cup and saucer,Food / Eating
1524.jpg,a man and woman eating food on a bed,Social Interaction (Pairs)
1525.jpg,two boys are looking at a computer screen,Social Interaction (Pairs)
1526.jpg,two dogs sitting next to a sign that says puppy training classes,Animal Focus
1527.jpg,a woman taking a picture of herself in the mirror,Single Person
1528.jpg,a plate with two butterflies and a banana,Food / Eating
1529.jpg,two boys laying on a couch,Social Interaction (Pairs)
1530.jpg,two children playing with a jar of water,Social Interaction (Pairs)
1531.jpg,two girls playing soccer on a field,Social Interaction (Pairs)
1532.jpg,a little girl is cooking in the kitchen,Food / Eating
1533.jpg,a man is pulling a horse on the beach,Human-Animal Interaction
1534.jpg,a laptop computer sitting on a desk with a cell and a cell,Technology / Screen
1535.jpg,a man holding a trophy in his hand,Single Person
1536.jpg,a young boy eating a bowl of food,Food / Eating
1537.jpg,a dog running on the beach with people in the background,Social Interaction (Pairs)
1538.jpg,a living room with a couch and a glass table,Indoor Objects / Scenes
1539.jpg,a toy is sitting on a desk next to a cell,Technology / Screen
1540.jpg,a woman and child sitting on the ground with a parrot,Adult-Child Interaction
1541.jpg,two wooden chairs sitting next to each other chairs,Indoor Objects / Scenes
1542.jpg,a young girl playing with a ball on the beach,Sports / Physical Activity
1543.jpg,three people standing next to a bike in a field,Group / Crowd
1544.jpg,two men are playing with sticks on the beach,Social Interaction (Pairs)
1545.jpg,two women sitting at a desk with a computer,Social Interaction (Pairs)
1546.jpg,two men are talking in front of a microphone,Social Interaction (Pairs)
1547.jpg,comic cons comic cons comic cons comic cons comic cons comic cons comic cons comic cons comic cons comic,Indoor Objects / Scenes
1548.jpg,a coffee cup and a radio on a counter,Technology / Screen
1549.jpg,a woman taking a picture of a kangaroo,Single Person
1550.jpg,two boys sitting on a couch reading a book,Social Interaction (Pairs)
1551.jpg,a bear walking along a road in the mountains,Animal Focus
1552.jpg,a man in camouflage gear is holding a deer,Single Person
1553.jpg,a little boy sitting at a table eating a piece of cake,Food / Eating
1554.jpg,a wall mounted shelf with three square shelves,Group / Crowd
1555.jpg,tiger woods golf tournament,Sports / Physical Activity
1556.jpg,a small house with a blue aw aw aw aw aw aw aw aw aw aw aw aw aw aw aw,Outdoor / Vehicles
1557.jpg,a book and a bowl of blueberries next to a glass of milk,Food / Eating
1558.jpg,a young boy jumps in the air as he crosses a road,Single Person
1559.jpg,a table with vegetables and signs on it,Indoor Objects / Scenes
1560.jpg,"a table with a cup, cell and a cup of coffee",Technology / Screen
1561.jpg,two children washing their car,Social Interaction (Pairs)
1562.jpg,a boy holding a snake in his hands,Single Person
1563.jpg,a woman sitting on a chair,Single Person
1564.jpg,a dog laying on a couch with a laptop,Technology / Screen
1565.jpg,a young boy sitting on a bench reading a book,Single Person
1566.jpg,a woman is kneeling down on the sidewalk,Single Person
1567.jpg,a woman sitting at a table,Single Person
1568.jpg,a person walking on a sidewalk near the ocean,Single Person
1569.jpg,a boy in a green shirt is riding a bike,Single Person
1570.jpg,a baby sitting on the floor reading a book,Single Person
1571.jpg,a man jumping in the air to catch a frc ball,Sports / Physical Activity
1572.jpg,two little girls sitting on the sand with a bird in their hand,Social Interaction (Pairs)
1573.jpg,a woman sitting on a couch with a child,Adult-Child Interaction
1574.jpg,a chef in a kitchen preparing food,Food / Eating
1575.jpg,a man and woman playing a piano outside,Social Interaction (Pairs)
1576.jpg,a man in a blue shirt is looking at a cell,Technology / Screen
1577.jpg,a man holding a baby in a kitchen,Adult-Child Interaction
1578.jpg,a man is swimming in the ocean near a sign,Single Person
1579.jpg,a little girl is putting money into a cash machine,Single Person
1580.jpg,a man is selling fruit on a street,Food / Eating
1581.jpg,a knife cutting into an orange with a face,Food / Eating
1582.jpg,a large bird walking down the road,Animal Focus
1583.jpg,a woman sitting on a couch holding a cat,Human-Animal Interaction
1584.jpg,a woman walking her dog on the beach,Human-Animal Interaction
1585.jpg,two business people sitting at a table with coffee,Social Interaction (Pairs)
1586.jpg,an old man reading a newspaper on a train,Single Person
1587.jpg,a man standing on a wooden walkway next to a sign,Single Person
1588.jpg,two young boys sitting on a bed reading a book,Social Interaction (Pairs)
1589.jpg,a watermelon and other items are on the counter,Food / Eating
1590.jpg,a man sitting at a desk with a computer,Technology / Screen
1591.jpg,a wooden manne and a wooden manne sitting on a table,Indoor Objects / Scenes
1592.jpg,a couple walking on the beach at sunset,Outdoor / Vehicles
1593.jpg,a man and a young boy sitting on the ground with pumpkins,Adult-Child Interaction
1594.jpg,two birds are standing on a wooden post,Animal Focus
1595.jpg,"a table with a bowl of fruit, a banana, and a measuring cup",Food / Eating
1596.jpg,a woman in a kitchen with a bowl of food,Food / Eating
1597.jpg,a man sitting at a table,Single Person
1598.jpg,a small plastic duck and a small plastic duck,Animal Focus
1599.jpg,a cat sitting at a table with a plate and a bottle,Food / Eating
1600.jpg,a helicopter lands on the flight deck of the aircraft carrier,Outdoor / Vehicles
1601.jpg,"a desk with a book, a cup and a clock",Food / Eating
1602.jpg,a man is reading a book while standing in front of a microphone,Single Person
1603.jpg,a man swinging a tennis racket,Sports / Physical Activity
1604.jpg,a person is writing on a piece of paper,Single Person
1605.jpg,a man fishing on the beach with a bird nearby,Human-Animal Interaction
1606.jpg,a man and woman standing under an umbrella,Social Interaction (Pairs)
1607.jpg,a red apple sitting on top of coins,Food / Eating
1608.jpg,a little girl sitting on the ground with a flower,Single Person
1609.jpg,a boy is petting a dog in the grass,Human-Animal Interaction
1610.jpg,a woman sitting at a table with a cell phone,Technology / Screen
1611.jpg,a man holding a child up in the air,Adult-Child Interaction
1612.jpg,a table with a vase of flowers and a napkin,Indoor Objects / Scenes
1613.jpg,a dog wearing a cat in the hat and a cat in the hat,Animal Focus
1614.jpg,two boys holding up books in their hands,Social Interaction (Pairs)
1615.jpg,a little girl holding a pumpkin in her hands,Food / Eating
1616.jpg,a person sitting at a table with a pen and paper,Single Person
1617.jpg,a young boy sitting at a table with a plate of food,Food / Eating
1618.jpg,a little girl standing in front of a giant pear,Single Person
1619.jpg,a couple of people standing around a table,Social Interaction (Pairs)
1620.jpg,a young boy sitting at a table eating food,Food / Eating
1621.jpg,"a table with a laptop, a cell, a cell, a book, a pen, a pen, a cell, a cell, a",Technology / Screen
1622.jpg,a white swan swimming in the water,Animal Focus
1623.jpg,two little girls are playing with chickens in the yard,Social Interaction (Pairs)
1624.jpg,a living room with a couch and two chairs,Indoor Objects / Scenes
1625.jpg,"a desk with a computer, keyboard and mouse",Technology / Screen
1626.jpg,a man and a young girl sitting on the floor reading a book to a dog,Adult-Child Interaction
1627.jpg,a woman weightlifting in a competition,Single Person
1628.jpg,two men playing badminton on a court at night,Social Interaction (Pairs)
1629.jpg,a man holding a fish on a boat,Human-Animal Interaction
1630.jpg,a man walking past a red wall,Single Person
1631.jpg,"a desk with a laptop, a cell, a pen, a book, a pen and a pen",Technology / Screen
1632.jpg,a man in a suit and tie standing in front of a glass wall,Single Person
1633.jpg,a woman is cooking food in a pot,Food / Eating
1634.jpg,a coffee mug on a table,Food / Eating
1635.jpg,a truck driving down the road with two cows,Animal Focus
1636.jpg,a soccer player kicking a ball on a field,Sports / Physical Activity
1637.jpg,an elderly woman using a laptop,Technology / Screen
1638.jpg,a living room with a couch and two stools,Indoor Objects / Scenes
1639.jpg,a woman kneeling down to a dog,Human-Animal Interaction
1640.jpg,a group of people sitting at a picnic table,Group / Crowd
1641.jpg,a helicopter is being lowered on the flight deck of an aircraft carrier,Outdoor / Vehicles
1642.jpg,a cup of coffee and a cell phone,Technology / Screen
1643.jpg,a seagul sitting on a pole in the water,Outdoor / Vehicles
1644.jpg,a piece of paper,Indoor Objects / Scenes
1645.jpg,"a flashlight, a bottle of liquid, and a piece of paper",Indoor Objects / Scenes
1646.jpg,a man in a suit and tie is handing money to another man,Social Interaction (Pairs)
1647.jpg,a baby sitting in a high chair,Single Person
1648.jpg,two children sitting around a campfire,Social Interaction (Pairs)
1649.jpg,a woman and two children sitting on a couch,Adult-Child Interaction
1650.jpg,a man squats on a road while holding a frc,Single Person
1651.jpg,"a cell phone, pen, and a wallet on a table",Technology / Screen
1652.jpg,a collection of miniature toys,Indoor Objects / Scenes
1653.jpg,a basket of zus and zus at a farmers market,Indoor Objects / Scenes
1654.jpg,a chair and a book in front of a fireplace,Indoor Objects / Scenes
1655.jpg,a wooden doll holding a clock on top of a table,Indoor Objects / Scenes
1656.jpg,a table with plates of food and a box of cake,Food / Eating
1657.jpg,two children playing with a green toy,Social Interaction (Pairs)
1658.jpg,a telephone and a cup on a desk,Food / Eating
1659.jpg,a plate of potato chips with a glass of water,Food / Eating
1660.jpg,a pink donut on a scale with a fork and knife,Food / Eating
1661.jpg,a young boy sitting on a horse shaped inflatable,Human-Animal Interaction
1662.jpg,three small figuris are sitting on a table,Group / Crowd
1663.jpg,two people sitting at a table with drinks,Social Interaction (Pairs)
1664.jpg,a round tin with a lid,Indoor Objects / Scenes
1665.jpg,a glass of beer on a table with a cell phone,Technology / Screen
1666.jpg,a girl swimming with a dolphin in the water,Single Person
1667.jpg,a banana with the word ' i love you ' written on it,Food / Eating
1668.jpg,a woman is standing at the counter with a man,Social Interaction (Pairs)
1669.jpg,a table topped with desserts and a camera,Technology / Screen
1670.jpg,"a candle, a book and a flower on a table",Indoor Objects / Scenes
1671.jpg,a laptop computer sitting on a desk next to a phone,Technology / Screen
1672.jpg,a toy helicopter with a bald eagle on top,Indoor Objects / Scenes
1673.jpg,a desk with a lamp and a book on it,Indoor Objects / Scenes
1674.jpg,"a table with a tea pot, a cup of tea and a picture frame",Food / Eating
1675.jpg,a bowl of food with a small toy on the side,Food / Eating
1676.jpg,a man playing a guitar,Sports / Physical Activity
1677.jpg,"a table with a bowl of popcorn, a bowl of candy, a bowl of candy, and a bowl of candy",Food / Eating
1678.jpg,a laptop computer,Technology / Screen
1679.jpg,a man wearing a blue shirt,Single Person
1680.jpg,a group of children in a kitchen preparing food,Group / Crowd
1681.jpg,a boy sitting on the beach watching a seagul flying a kite,Sports / Physical Activity
1682.jpg,a young boy playing with a board game,Sports / Physical Activity
1683.jpg,a puppy standing next to a bowl of food,Food / Eating
1684.jpg,a woman in a red dress holding a poster,Single Person
1685.jpg,a woman and a child sitting on the edge of a pond,Adult-Child Interaction
1686.jpg,two girls standing on the side of a road,Social Interaction (Pairs)
1687.jpg,a table with books and a jar of liquid,Indoor Objects / Scenes
1688.jpg,a woman taking a picture of food,Food / Eating
1689.jpg,a woman walking on the beach with two dogs,Social Interaction (Pairs)
1690.jpg,a desk with a computer and lamp on it,Technology / Screen
1691.jpg,"a candle, a bottle of perfume and a candle holder",Indoor Objects / Scenes
1692.jpg,a woman sitting on the side of a road next to a road sign,Single Person
1693.jpg,a woman sitting on a couch with a dog,Human-Animal Interaction
1694.jpg,two people riding bikes,Social Interaction (Pairs)
1695.jpg,a white plate with a piece of bread and a cup of tea,Food / Eating
1696.jpg,people are standing on rocks near the water,Social Interaction (Pairs)
1697.jpg,a child sitting at a table with a cup of ice,Food / Eating
1698.jpg,a woman sitting on a red couch holding a remote control,Single Person
1699.jpg,a computer desk with a keyboard and mouse,Technology / Screen
1700.jpg,a man is pouring milk on some meat,Single Person
