image,caption,category
1495.jpg,two people sitting on a bench in front of a building,Social_Interaction
1496.jpg,a bird sitting on top of a sign near the water,Animals
1497.jpg,a group of people playing a game of volleyball,Social_Interaction
1498.jpg,a man in a white shirt and hat standing next to an airplane,Transportation_Vehicles
1499.jpg,a motorcycle parked on the side of a road next to a sign,Outdoor_Nature
1500.jpg,a man standing at a podium with a laptop,Technology_Screens
1501.jpg,a man and woman sitting on a couch with a baby,Social_Interaction
1502.jpg,a man in a straw hat holding a digital therm,Human_Single
1503.jpg,a woman standing in a hallway with a coat on,Human_Single
1504.jpg,a bottle of coke and a glass of coke on a table,Indoor_Objects_Furniture
1505.jpg,a man sitting at a desk with two monitors,Technology_Screens
1506.jpg,two people in the ocean with surfboards,Social_Interaction
1507.jpg,a deer crosses the street in front of a car,Transportation_Vehicles
1508.jpg,a cat sitting on a table next to a bunch of bananas and oranges,Animals
1509.jpg,a man holding a pumpkin in a warehouse,Human_Single
1510.jpg,a man sitting on the curb of a race track,Human_Single
1511.jpg,a table with a bunch of items on it,Indoor_Objects_Furniture
1512.jpg,a desk with a laptop and a mouse,Technology_Screens
1513.jpg,a young boy playing with a drum,Children
1514.jpg,a woman and a man are walking their dogs,Animals
1515.jpg,a table with a lamp and a tea pot,Indoor_Objects_Furniture
1516.jpg,a laptop computer sitting on a kitchen counter,Technology_Screens
1517.jpg,a girl sitting on a skateboard,Children
1518.jpg,a coat rack with books on it,Other
1519.jpg,a cup on a table,Indoor_Objects_Furniture
1520.jpg,a knife and a bowl of food on a table,Food_Dining
1521.jpg,a girl in a soccer game about to kick the ball,Children
1522.jpg,a baby sitting at a table with a plastic container,Indoor_Objects_Furniture
1523.jpg,a table with a tea cup and saucer,Indoor_Objects_Furniture
1524.jpg,a man and woman eating food on a bed,Social_Interaction
1525.jpg,two boys are looking at a computer screen,Children
1526.jpg,two dogs sitting next to a sign that says puppy training classes,Animals
1527.jpg,a woman taking a picture of herself in the mirror,Human_Single
1528.jpg,a plate with two butterflies and a banana,Other
1529.jpg,two boys laying on a couch,Children
1530.jpg,two children playing with a jar of water,Children
1531.jpg,two girls playing soccer on a field,Children
1532.jpg,a little girl is cooking in the kitchen,Children
1533.jpg,a man is pulling a horse on the beach,Outdoor_Nature
1534.jpg,a laptop computer sitting on a desk with a cell and a cell,Technology_Screens
1535.jpg,a man holding a trophy in his hand,Human_Single
1536.jpg,a young boy eating a bowl of food,Children
1537.jpg,a dog running on the beach with people in the background,Animals
1538.jpg,a living room with a couch and a glass table,Indoor_Objects_Furniture
1539.jpg,a toy is sitting on a desk next to a cell,Technology_Screens
1540.jpg,a woman and child sitting on the ground with a parrot,Children
1541.jpg,two wooden chairs sitting next to each other chairs,Indoor_Objects_Furniture
1542.jpg,a young girl playing with a ball on the beach,Children
1543.jpg,three people standing next to a bike in a field,Social_Interaction
1544.jpg,two men are playing with sticks on the beach,Multiple_People
1545.jpg,two women sitting at a desk with a computer,Multiple_People
1546.jpg,two men are talking in front of a microphone,Social_Interaction
1547.jpg,comic cons comic cons comic cons comic cons comic cons comic cons comic cons comic cons comic cons comic,Other
1548.jpg,a coffee cup and a radio on a counter,Food_Dining
1549.jpg,a woman taking a picture of a kangaroo,Human_Single
1550.jpg,two boys sitting on a couch reading a book,Children
1551.jpg,a bear walking along a road in the mountains,Outdoor_Nature
1552.jpg,a man in camouflage gear is holding a deer,Human_Single
1553.jpg,a little boy sitting at a table eating a piece of cake,Children
1554.jpg,a wall mounted shelf with three square shelves,Indoor_Objects_Furniture
1555.jpg,tiger woods golf tournament,Other
1556.jpg,a small house with a blue aw aw aw aw aw aw aw aw aw aw aw aw aw aw aw,Other
1557.jpg,a book and a bowl of blueberries next to a glass of milk,Food_Dining
1558.jpg,a young boy jumps in the air as he crosses a road,Children
1559.jpg,a table with vegetables and signs on it,Indoor_Objects_Furniture
1560.jpg,"a table with a cup, cell and a cup of coffee",Food_Dining
1561.jpg,two children washing their car,Children
1562.jpg,a boy holding a snake in his hands,Children
1563.jpg,a woman sitting on a chair,Indoor_Objects_Furniture
1564.jpg,a dog laying on a couch with a laptop,Animals
1565.jpg,a young boy sitting on a bench reading a book,Children
1566.jpg,a woman is kneeling down on the sidewalk,Human_Single
1567.jpg,a woman sitting at a table,Indoor_Objects_Furniture
1568.jpg,a person walking on a sidewalk near the ocean,Outdoor_Nature
1569.jpg,a boy in a green shirt is riding a bike,Children
1570.jpg,a baby sitting on the floor reading a book,Other
1571.jpg,a man jumping in the air to catch a frc ball,Animals
1572.jpg,two little girls sitting on the sand with a bird in their hand,Children
1573.jpg,a woman sitting on a couch with a child,Children
1574.jpg,a chef in a kitchen preparing food,Food_Dining
1575.jpg,a man and woman playing a piano outside,Social_Interaction
1576.jpg,a man in a blue shirt is looking at a cell,Technology_Screens
1577.jpg,a man holding a baby in a kitchen,Indoor_Objects_Furniture
1578.jpg,a man is swimming in the ocean near a sign,Outdoor_Nature
1579.jpg,a little girl is putting money into a cash machine,Children
1580.jpg,a man is selling fruit on a street,Outdoor_Nature
1581.jpg,a knife cutting into an orange with a face,Other
1582.jpg,a large bird walking down the road,Animals
1583.jpg,a woman sitting on a couch holding a cat,Animals
1584.jpg,a woman walking her dog on the beach,Animals
1585.jpg,two business people sitting at a table with coffee,Multiple_People
1586.jpg,an old man reading a newspaper on a train,Human_Single
1587.jpg,a man standing on a wooden walkway next to a sign,Human_Single
1588.jpg,two young boys sitting on a bed reading a book,Children
1589.jpg,a watermelon and other items are on the counter,Other
1590.jpg,a man sitting at a desk with a computer,Technology_Screens
1591.jpg,a wooden manne and a wooden manne sitting on a table,Indoor_Objects_Furniture
1592.jpg,a couple walking on the beach at sunset,Outdoor_Nature
1593.jpg,a man and a young boy sitting on the ground with pumpkins,Children
1594.jpg,two birds are standing on a wooden post,Animals
1595.jpg,"a table with a bowl of fruit, a banana, and a measuring cup",Food_Dining
1596.jpg,a woman in a kitchen with a bowl of food,Food_Dining
1597.jpg,a man sitting at a table,Indoor_Objects_Furniture
1598.jpg,a small plastic duck and a small plastic duck,Other
1599.jpg,a cat sitting at a table with a plate and a bottle,Animals
1600.jpg,a helicopter lands on the flight deck of the aircraft carrier,Transportation_Vehicles
1601.jpg,"a desk with a book, a cup and a clock",Other
1602.jpg,a man is reading a book while standing in front of a microphone,Technology_Screens
1603.jpg,a man swinging a tennis racket,Sports_Activity
1604.jpg,a person is writing on a piece of paper,Human_Single
1605.jpg,a man fishing on the beach with a bird nearby,Animals
1606.jpg,a man and woman standing under an umbrella,Social_Interaction
1607.jpg,a red apple sitting on top of coins,Other
1608.jpg,a little girl sitting on the ground with a flower,Children
1609.jpg,a boy is petting a dog in the grass,Children
1610.jpg,a woman sitting at a table with a cell phone,Technology_Screens
1611.jpg,a man holding a child up in the air,Children
1612.jpg,a table with a vase of flowers and a napkin,Indoor_Objects_Furniture
1613.jpg,a dog wearing a cat in the hat and a cat in the hat,Animals
1614.jpg,two boys holding up books in their hands,Children
1615.jpg,a little girl holding a pumpkin in her hands,Children
1616.jpg,a person sitting at a table with a pen and paper,Indoor_Objects_Furniture
1617.jpg,a young boy sitting at a table with a plate of food,Children
1618.jpg,a little girl standing in front of a giant pear,Children
1619.jpg,a couple of people standing around a table,Multiple_People
1620.jpg,a young boy sitting at a table eating food,Children
1621.jpg,"a table with a laptop, a cell, a cell, a book, a pen, a pen, a cell, a cell, a",Technology_Screens
1622.jpg,a white swan swimming in the water,Other
1623.jpg,two little girls are playing with chickens in the yard,Children
1624.jpg,a living room with a couch and two chairs,Indoor_Objects_Furniture
1625.jpg,"a desk with a computer, keyboard and mouse",Technology_Screens
1626.jpg,a man and a young girl sitting on the floor reading a book to a dog,Children
1627.jpg,a woman weightlifting in a competition,Human_Single
1628.jpg,two men playing badminton on a court at night,Multiple_People
1629.jpg,a man holding a fish on a boat,Human_Single
1630.jpg,a man walking past a red wall,Human_Single
1631.jpg,"a desk with a laptop, a cell, a pen, a book, a pen and a pen",Technology_Screens
1632.jpg,a man in a suit and tie standing in front of a glass wall,Human_Single
1633.jpg,a woman is cooking food in a pot,Food_Dining
1634.jpg,a coffee mug on a table,Food_Dining
1635.jpg,a truck driving down the road with two cows,Outdoor_Nature
1636.jpg,a soccer player kicking a ball on a field,Sports_Activity
1637.jpg,an elderly woman using a laptop,Technology_Screens
1638.jpg,a living room with a couch and two stools,Indoor_Objects_Furniture
1639.jpg,a woman kneeling down to a dog,Animals
1640.jpg,a group of people sitting at a picnic table,Social_Interaction
1641.jpg,a helicopter is being lowered on the flight deck of an aircraft carrier,Transportation_Vehicles
1642.jpg,a cup of coffee and a cell phone,Food_Dining
1643.jpg,a seagul sitting on a pole in the water,Other
1644.jpg,a piece of paper,Other
1645.jpg,"a flashlight, a bottle of liquid, and a piece of paper",Other
1646.jpg,a man in a suit and tie is handing money to another man,Human_Single
1647.jpg,a baby sitting in a high chair,Indoor_Objects_Furniture
1648.jpg,two children sitting around a campfire,Children
1649.jpg,a woman and two children sitting on a couch,Children
1650.jpg,a man squats on a road while holding a frc,Outdoor_Nature
1651.jpg,"a cell phone, pen, and a wallet on a table",Technology_Screens
1652.jpg,a collection of miniature toys,Other
1653.jpg,a basket of zus and zus at a farmers market,Other
1654.jpg,a chair and a book in front of a fireplace,Indoor_Objects_Furniture
1655.jpg,a wooden doll holding a clock on top of a table,Indoor_Objects_Furniture
1656.jpg,a table with plates of food and a box of cake,Food_Dining
1657.jpg,two children playing with a green toy,Children
1658.jpg,a telephone and a cup on a desk,Technology_Screens
1659.jpg,a plate of potato chips with a glass of water,Other
1660.jpg,a pink donut on a scale with a fork and knife,Other
1661.jpg,a young boy sitting on a horse shaped inflatable,Children
1662.jpg,three small figuris are sitting on a table,Indoor_Objects_Furniture
1663.jpg,two people sitting at a table with drinks,Social_Interaction
1664.jpg,a round tin with a lid,Other
1665.jpg,a glass of beer on a table with a cell phone,Technology_Screens
1666.jpg,a girl swimming with a dolphin in the water,Children
1667.jpg,a banana with the word ' i love you ' written on it,Other
1668.jpg,a woman is standing at the counter with a man,Human_Single
1669.jpg,a table topped with desserts and a camera,Indoor_Objects_Furniture
1670.jpg,"a candle, a book and a flower on a table",Indoor_Objects_Furniture
1671.jpg,a laptop computer sitting on a desk next to a phone,Technology_Screens
1672.jpg,a toy helicopter with a bald eagle on top,Transportation_Vehicles
1673.jpg,a desk with a lamp and a book on it,Other
1674.jpg,"a table with a tea pot, a cup of tea and a picture frame",Indoor_Objects_Furniture
1675.jpg,a bowl of food with a small toy on the side,Food_Dining
1676.jpg,a man playing a guitar,Sports_Activity
1677.jpg,"a table with a bowl of popcorn, a bowl of candy, a bowl of candy, and a bowl of candy",Food_Dining
1678.jpg,a laptop computer,Technology_Screens
1679.jpg,a man wearing a blue shirt,Human_Single
1680.jpg,a group of children in a kitchen preparing food,Children
1681.jpg,a boy sitting on the beach watching a seagul flying a kite,Children
1682.jpg,a young boy playing with a board game,Children
1683.jpg,a puppy standing next to a bowl of food,Animals
1684.jpg,a woman in a red dress holding a poster,Human_Single
1685.jpg,a woman and a child sitting on the edge of a pond,Children
1686.jpg,two girls standing on the side of a road,Children
1687.jpg,a table with books and a jar of liquid,Indoor_Objects_Furniture
1688.jpg,a woman taking a picture of food,Food_Dining
1689.jpg,a woman walking on the beach with two dogs,Animals
1690.jpg,a desk with a computer and lamp on it,Technology_Screens
1691.jpg,"a candle, a bottle of perfume and a candle holder",Other
1692.jpg,a woman sitting on the side of a road next to a road sign,Outdoor_Nature
1693.jpg,a woman sitting on a couch with a dog,Animals
1694.jpg,two people riding bikes,Social_Interaction
1695.jpg,a white plate with a piece of bread and a cup of tea,Other
1696.jpg,people are standing on rocks near the water,Other
1697.jpg,a child sitting at a table with a cup of ice,Children
1698.jpg,a woman sitting on a red couch holding a remote control,Indoor_Objects_Furniture
1699.jpg,a computer desk with a keyboard and mouse,Technology_Screens
1700.jpg,a man is pouring milk on some meat,Human_Single
