image,caption
1641.jpg,a helicopter is being lowered on the flight deck of an aircraft carrier
1642.jpg,a cup of coffee and a cell phone
1643.jpg,a seagul sitting on a pole in the water
1644.jpg,a piece of paper
1645.jpg,"a flashlight, a bottle of liquid, and a piece of paper"
1646.jpg,a man in a suit and tie is handing money to another man
1647.jpg,a baby sitting in a high chair
1648.jpg,two children sitting around a campfire
1649.jpg,a woman and two children sitting on a couch
1650.jpg,a man squats on a road while holding a frc
1651.jpg,"a cell phone, pen, and a wallet on a table"
1652.jpg,a collection of miniature toys
1653.jpg,a basket of zus and zus at a farmers market
1654.jpg,a chair and a book in front of a fireplace
1655.jpg,a wooden doll holding a clock on top of a table
1656.jpg,a table with plates of food and a box of cake
1657.jpg,two children playing with a green toy
1658.jpg,a telephone and a cup on a desk
1659.jpg,a plate of potato chips with a glass of water
1660.jpg,a pink donut on a scale with a fork and knife
1661.jpg,a young boy sitting on a horse shaped inflatable
1662.jpg,three small figuris are sitting on a table
1663.jpg,two people sitting at a table with drinks
1664.jpg,a round tin with a lid
1665.jpg,a glass of beer on a table with a cell phone
1666.jpg,a girl swimming with a dolphin in the water
1667.jpg,a banana with the word ' i love you ' written on it
1668.jpg,a woman is standing at the counter with a man
1669.jpg,a table topped with desserts and a camera
1670.jpg,"a candle, a book and a flower on a table"
1671.jpg,a laptop computer sitting on a desk next to a phone
1672.jpg,a toy helicopter with a bald eagle on top
1673.jpg,a desk with a lamp and a book on it
1674.jpg,"a table with a tea pot, a cup of tea and a picture frame"
1675.jpg,a bowl of food with a small toy on the side
1676.jpg,a man playing a guitar
1677.jpg,"a table with a bowl of popcorn, a bowl of candy, a bowl of candy, and a bowl of candy"
1678.jpg,a laptop computer
1679.jpg,a man wearing a blue shirt
1680.jpg,a group of children in a kitchen preparing food
1681.jpg,a boy sitting on the beach watching a seagul flying a kite
1682.jpg,a young boy playing with a board game
1683.jpg,a puppy standing next to a bowl of food
1684.jpg,a woman in a red dress holding a poster
1685.jpg,a woman and a child sitting on the edge of a pond
1686.jpg,two girls standing on the side of a road
1687.jpg,a table with books and a jar of liquid
1688.jpg,a woman taking a picture of food
1689.jpg,a woman walking on the beach with two dogs
1690.jpg,a desk with a computer and lamp on it
1691.jpg,"a candle, a bottle of perfume and a candle holder"
1692.jpg,a woman sitting on the side of a road next to a road sign
1693.jpg,a woman sitting on a couch with a dog
1694.jpg,two people riding bikes
1695.jpg,a white plate with a piece of bread and a cup of tea
1696.jpg,people are standing on rocks near the water
1697.jpg,a child sitting at a table with a cup of ice
1698.jpg,a woman sitting on a red couch holding a remote control
1699.jpg,a computer desk with a keyboard and mouse
1700.jpg,a man is pouring milk on some meat
